호선,역명,경도,위도
1,서울,126.9725642,37.5569111
1,시청,126.9769500,37.5656226
1,종각,126.9814177,37.5702353
1,종로3가,126.9908986,37.5704533
1,종로5가,127.0019443,37.5710354
1,동대문,127.0112663,37.5717654
1,신설동,127.0259689,37.5764705
1,제기동,127.0407564,37.5788829
1,청량리(서울시립대입구),127.0460619,37.5798318
1,동묘앞,127.0171538,37.5736026
2,시청,126.9755321,37.5635845
2,을지로입구,126.9820761,37.5660678
2,을지로3가,126.9902233,37.5662170
2,을지로4가,126.9965401,37.5665336
2,동대문역사문화공원(DDP),127.0085520,37.5657880
2,신당,127.0223665,37.5653307
2,상왕십리,127.0298208,37.5639741
2,왕십리(성동구청),127.0374819,37.5613065
2,한양대,127.0435848,37.5555778
2,뚝섬,127.0473655,37.5471882
2,성수,127.0570111,37.5446817
2,건대입구,127.0690425,37.5408213
2,구의(광진구청),127.0890404,37.5380744
2,강변(동서울터미널),127.0945574,37.5353831
2,잠실나루,127.1047822,37.5189462
2,잠실(송파구청),127.1020800,37.5140732
2,잠실새내,127.0892320,37.5115507
2,종합운동장,127.0743144,37.5111021
2,삼성(무역센터),127.0580470,37.5074134
2,선릉,127.0580470,37.5074134
2,역삼,127.0383512,37.5012554
2,강남,127.0281971,37.4970547
2,"교대(법원, 검찰청)",127.0173840,37.4948924
2,서초,127.0105689,37.4927975
2,방배,126.9970308,37.4812898
2,사당,126.9763750,37.4764357
2,낙성대(강감찬),126.9657089,37.4763683
2,서울대입구(관악구청),126.9516217,37.4812680
2,봉천,,
2,신림,126.9289410,37.4843439
2,신대방,126.9129729,37.4875576
2,구로디지털단지,126.9010854,37.4853711
2,대림(구로구청),126.8947981,37.4934440
2,신도림,126.8911251,37.5087487
2,문래,126.8947514,37.5178619
2,영등포구청,126.8965176,37.5253454
2,당산,126.9029730,37.5352721
2,합정,126.9146385,37.5501151
2,홍대입구,126.9236745,37.5568904
2,신촌(지하),126.9375562,37.5546743
2,이대,126.9477333,37.5568550
2,아현,126.9556725,37.5559447
2,충정로(경기대입구),126.9638875,37.5595651
2,용답,127.0544888,37.5654297
2,신답,127.0454545,37.5707095
2,신설동,127.0259689,37.5764705
2,도림천,126.8829965,37.5143004
2,양천구청,126.8657681,37.5125591
2,신정네거리,126.8536172,37.5183193
2,용두(동대문구청),127.0382284,37.5759775
3,지축,126.9108527,37.6488731
3,구파발,126.9185617,37.6375815
3,연신내,126.9208664,37.6189426
3,불광,126.9299105,37.6103681
3,녹번,126.9359399,37.6007987
3,홍제,126.9453333,37.5876990
3,무악재,126.9505882,37.5824253
3,독립문,126.9561901,37.5742197
3,경복궁(정부서울청사),126.9732100,37.5757698
3,안국,126.9848749,37.5770215
3,종로3가,126.9918961,37.5714831
3,을지로3가,126.9936304,37.5664112
3,충무로,126.9943361,37.5612197
3,동대입구,127.0051248,37.5592255
3,약수,127.0109928,37.5544400
3,금호,127.0158940,37.5481124
3,옥수,127.0172419,37.5399334
3,압구정,127.0283250,37.5235435
3,신사,127.0187737,37.5196781
3,잠원,127.0117768,37.5130710
3,고속터미널,127.0048978,37.5048472
3,"교대(법원, 검찰청)",127.0173840,37.4948924
3,남부터미널(예술의전당),127.0153091,37.4865993
3,양재(서초구청),127.0333887,37.4847852
3,매봉,127.0466934,37.4870004
3,도곡,127.0549282,37.4907159
3,대치,127.0632507,37.4945218
3,학여울,127.0718169,37.4967291
3,대청,127.0795883,37.4936599
3,일원,127.0844601,37.4840029
3,수서,127.1005851,37.4882619
3,가락시장,127.1182195,37.4929149
3,경찰병원,127.1256429,37.4982785
3,오금,127.1261696,37.5034262
4,당고개,127.0793498,37.6706134
4,상계,127.0736255,37.6610759
4,노원,127.0624106,37.6561167
4,창동,127.0477045,37.6533806
4,쌍문,127.0350987,37.6490566
4,수유(강북구청),127.0270654,37.6398392
4,미아(서울사이버대학),127.0247638,37.6294588
4,미아사거리 ,127.0300402,37.6150046
4,길음,127.0248295,37.6032061
4,성신여대입구(돈암),127.0167893,37.5931140
4,한성대입구(삼선교),127.0058050,37.5880808
4,혜화,127.0017718,37.5821984
4,동대문,127.0094416,37.5706288
4,동대문역사문화공원(DDP),127.0073262,37.5646990
4,충무로,126.9943361,37.5612197
4,명동,126.9857310,37.5608531
4,회현(남대문시장),126.9772619,37.5590776
4,서울,126.9728008,37.5531204
4,숙대입구(갈월),126.9719443,37.5455787
4,삼각지,126.9732238,37.5346624
4,신용산,126.9682189,37.5296207
4,이촌(국립중앙박물관),126.9753798,37.5219476
4,동작(현충원),126.9800148,37.5028500
4,총신대입구(이수),126.9822891,37.4880323
4,사당,126.9816274,37.4769179
4,남태령,126.9892824,37.4643710
5,방화,126.8126951,37.5772651
5,개화산,126.8057580,37.5723387
5,김포공항,126.8030045,37.5650640
5,송정,126.8105223,37.5614699
5,마곡,126.8250650,37.5602636
5,발산,126.8373107,37.5590293
5,우장산,126.8364151,37.5492424
5,화곡,126.8407816,37.5412366
5,까치산,126.8462563,37.5325585
5,신정(은행정),126.8542899,37.5247226
5,목동,126.8661748,37.5260126
5,오목교(목동운동장앞),126.8740184,37.5246796
5,양평,126.8860984,37.5252184
5,영등포구청,126.8943507,37.5244230
5,영등포시장,126.9053025,37.5221950
5,신길,126.9145176,37.5177243
5,여의도,126.9269375,37.5232518
5,여의나루,126.9325005,37.5281814
5,마포,126.9459206,37.5395838
5,공덕,126.9511991,37.5445007
5,애오개,126.9566135,37.5533623
5,충정로(경기대입구),126.9633091,37.5607980
5,서대문,126.9669450,37.5661781
5,광화문(세종문화회관),126.9769031,37.5724368
5,종로3가(탑골공원),126.9903674,37.5725678
5,을지로4가,126.9980336,37.5674558
5,동대문역사문화공원(DDP),127.0056069,37.5646558
5,청구,127.0138788,37.5603611
5,신금호,127.0198048,37.5546645
5,행당,127.0299107,37.5576232
5,왕십리(성동구청),127.0374819,37.5613065
5,마장,127.0445324,37.5672244
5,답십리,127.0531812,37.5664458
5,장한평,127.0583234,37.5628427
5,군자(능동),127.0805476,37.5567350
5,아차산(어린이대공원후문),127.0863616,37.5542573
5,광나루(장신대),127.1035147,37.5451750
5,천호(풍납토성),127.1251279,37.5385095
5,강동,127.1341641,37.5357824
5,길동,127.1399992,37.5378114
5,굽은다리(강동구민회관앞),127.1432073,37.5460517
5,명일,127.1440039,37.5512570
5,고덕,127.1538878,37.5556299
5,상일동,127.1569939,37.5546774
5,둔촌동,127.1363750,37.5281346
5,올림픽공원(한국체대),127.1311479,37.5165603
5,방이,127.1254576,37.5080287
5,오금,127.1261696,37.5034262
5,개롱,127.1338152,37.4985772
5,거여,127.1420291,37.4942534
5,마천,127.1519774,37.4944609
5,강일,127.1762542,37.5560813
5,미사,127.1915978,37.5660829
5,하남풍산,127.2047442,37.5532299
5,하남시청(덕풍?신장),127.2062579,37.5419219
5,하남검단산,127.2246682,37.5395326
6,응암,126.9154835,37.5982123
6,역촌,126.9237118,37.6054129
6,불광,126.9299105,37.6103681
6,독바위,126.9328708,37.6183807
6,연신내,126.9208664,37.6189426
6,구산,126.9171827,37.6112121
6,새절(신사),126.9133081,37.5911688
6,증산(명지대앞),126.9093858,37.5836598
6,디지털미디어시티,126.9021669,37.5774550
6,월드컵경기장(성산),126.8990336,37.5699425
6,마포구청,126.9033573,37.5634262
6,망원,126.9100342,37.5560572
6,합정,126.9133441,37.5491330
6,상수,126.9224955,37.5481109
6,광흥창(서강),126.9325146,37.5474987
6,대흥(서강대앞),126.9423691,37.5477278
6,공덕,126.9519478,37.5435269
6,효창공원앞,126.9609907,37.5396242
6,삼각지,126.9732238,37.5346624
6,녹사평(용산구청),126.9855224,37.5344468
6,이태원,126.9946627,37.5345467
6,한강진,127.0018583,37.5408035
6,버티고개,127.0070539,37.5481921
6,약수,127.0105099,37.5547621
6,청구,127.0138788,37.5603611
6,신당,127.0162380,37.5672613
6,동묘앞,127.0158198,37.5716391
6,창신,127.0152011,37.5794533
6,보문,127.0197139,37.5858965
6,안암(고대병원앞),127.0294050,37.5861013
6,고려대(종암),127.0362278,37.5904313
6,월곡(동덕여대),127.0414311,37.6017569
6,상월곡(한국과학기술연구원),127.0498542,37.6071036
6,돌곶이,127.0571671,37.6106133
6,석계,127.0668268,37.6152737
6,태릉입구,127.0751544,37.6191471
6,화랑대(서울여대입구),127.0832777,37.6199179
6,봉화산(서울의료원),127.0933299,37.6164211
6,신내,127.1090750,37.6120645
7,장암,127.0530094,37.7003245
7,도봉산,127.0466596,37.6890641
7,수락산,127.0553673,37.6774664
7,마들,127.0570330,37.6676209
7,노원,127.0608257,37.6535198
7,중계,127.0651865,37.6426954
7,하계,127.0685397,37.6352562
7,공릉(서울과학기술대),127.0727600,37.6257670
7,태릉입구,127.0751544,37.6191471
7,먹골,127.0777268,37.6108680
7,중화,127.0790680,37.6017163
7,상봉(시외버스터미널),127.0860401,37.5967697
7,면목,127.0873732,37.5892231
7,사가정,127.0885737,37.5825390
7,용마산(용마폭포공원),127.0870757,37.5740377
7,중곡,127.0842209,37.5657613
7,군자(능동),127.0805476,37.5567350
7,어린이대공원(세종대),127.0739744,37.5471387
7,건대입구,127.0691396,37.5405519
7,뚝섬유원지,127.0670172,37.5319545
7,청담,127.0492172,37.5187264
7,강남구청,127.0472408,37.5182116
7,학동,127.0317684,37.5142978
7,논현,127.0317684,37.5142978
7,반포,127.0118472,37.5082967
7,고속터미널,127.0048978,37.5048472
7,내방,126.9932287,37.4881339
7,이수,126.9811742,37.4851760
7,남성,126.9711309,37.4847432
7,숭실대입구(살피재),126.9540726,37.4958272
7,상도,126.9473048,37.5035133
7,장승배기,126.9380993,37.5043110
7,신대방삼거리,126.9277041,37.4996500
7,보라매,126.9203433,37.4992817
7,신풍,126.9094185,37.5003259
7,대림(구로구청),126.8968031,37.4928563
7,남구로,126.8867260,37.4849262
7,가산디지털단지,126.8822398,37.4824214
7,철산,126.8699871,37.4767207
7,광명사거리,126.8530824,37.4798145
7,천왕,126.8384230,37.4871607
7,온수(성공회대입구),126.8214479,37.4913597
8,암사,127.1282309,37.5511668
8,천호(풍납토성),127.1251279,37.5385095
8,강동구청,127.1205768,37.5306697
8,몽촌토성(평화의문),127.1107741,37.5169881
8,잠실(송파구청),127.1041048,37.5149220
8,석촌,127.1056430,37.5066522
8,송파,127.1121190,37.4998704
8,가락시장,127.1182195,37.4929149
8,문정,127.1215243,37.4877691
8,장지,127.1266254,37.4775900
8,복정,127.1267184,37.4706674
8,남위례,127.1391653,37.4630926
8,산성,127.1497420,37.4544660
8,남한산성입구(성남법원?검찰청),127.1588561,37.4497420
8,단대오거리,127.1504468,37.4433977
8,신흥,127.1504468,37.4433977
8,수진,127.1404287,37.4376515
8,모란,127.1295777,37.4342641
9,언주,127.0342749,37.5075064
9,선정릉,127.0434907,37.5114955
9,삼성중앙,127.0485228,37.5116435
9,봉은사,127.0632545,37.5147756
9,종합운동장,127.0769311,37.5115466
9,삼전,127.0876348,37.5040351
9,석촌고분,127.0969608,37.5032016
9,석촌,127.1056430,37.5066522
9,송파나루,127.1127478,37.5109720
9,한성백제,127.1133334,37.5180039
9,올림픽공원(한국체대),127.1311479,37.5165603
9,둔촌오륜,127.1424450,37.5179013
9,중앙보훈병원,127.1483691,37.5283480
경춘선,회기역,127.057936,37.589802
경춘선,청량리역,127.046516,37.580543
경춘선,중랑역,127.076152,37.594948
경춘선,상봉역,127.085853,37.595254
경춘선,망우역,127.092318,37.599288
경춘선,신내역,127.103277,37.612855
경춘선,갈매역,127.114803,37.634135
경춘선,별내역,127.127208,37.642221
경춘선,퇴계원역,127.143858,37.648316
경춘선,사릉역,127.176839,37.651145
경춘선,금곡역,127.207931,37.637414
경춘선,평내호평역,127.244452,37.653229
경춘선,천마산역,127.285731,37.658995
경춘선,마석역,127.311713,37.652328
경춘선,대성리역,127.379165,37.683909
경춘선,청평역,127.426541,37.735484
경춘선,상천역,127.4542,37.770405
경춘선,가평역,127.510693,37.814515
경춘선,굴봉산역,127.557732,37.832086
경춘선,백양리역,127.589085,37.830881
경춘선,강촌역,127.634054,37.805728
경춘선,김유정역,127.714302,37.818475
경춘선,남춘천역,127.723761,37.864071
경춘선,춘천역,127.716603,37.884391
